timestamp, type, prox-id, floor, zone
2016-05-31 00:05:00, fixed-prox, vawelon001, 1, 1
2016-05-31 00:20:00, fixed-prox, earpa001, 1, 1
2016-05-31 02:26:40, fixed-prox, earpa001, 1, 6
2016-05-31 02:31:41, fixed-prox, vawelon001, 1, 6
2016-05-31 03:12:00, fixed-prox, earpa001, 1, 1
2016-05-31 03:28:00, fixed-prox, vawelon001, 1, 1
2016-05-31 05:57:40, fixed-prox, earpa001, 1, 6
2016-05-31 05:57:41, fixed-prox, vawelon001, 1, 6
2016-05-31 06:47:00, fixed-prox, vawelon001, 1, 1


01, 115217.34262530117      
02, 115811.11016347304      
03, 115801.70906242428      
04, 115880.79261856287      
05, 116648.94543734947      
06, 106514.02059940119      
07, 105799.95474790418      
08, 151882.14258484848      
09, 184176.85309277117      
10, 169984.75482891573      
11, 164121.39139212118      
12, 169704.57312574852      
13, 177061.38221437126      
14, 178386.57954311377      
15, 162398.93439573172      
16, 166989.15328614446      
17, 173546.53333353295      
18, 171684.80188614456      
19, 132489.87956848484      
20, 125311.93179090915      
21, 125420.91426325304      
22, 125730.92196969697      
23, 121866.72329515149  
